trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.05576664270099093, 'e': 0.46766642700990924}",35,22,-52.761137616363385,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.05530130683112281, 'e': 0.46301306831122807}",20,10,15.425682596070608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.05484060113052235, 'e': 0.4584060113052235}",30,19,0.65041773816754,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.05438447952823559, 'e': 0.45384479528235583}",30,7,-6.997581155651138,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.05393289641172216, 'e': 0.44932896411722156}",30,20,-24.864636814132677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.053485806622294116, 'e': 0.4448580662229411}",25,15,17.818104523562567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05304316545059993, 'e': 0.44043165450599925}",20,6,6.892650012810935,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.05260492863215356, 'e': 0.43604928632153556}",25,20,11.83746282896248,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.052171052342907975, 'e': 0.43171052342907973}",20,12,-9.714934575418905,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.05174149319487267, 'e': 0.4274149319487267}",20,1,-78.7644071568633,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.051316208231774886, 'e': 0.4231620823177488}",20,11,9.132880061748288,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.0508951549247639, 'e': 0.418951549247639}",25,0,27.9729670988084,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.05047829116815814, 'e': 0.4147829116815814}",25,11,-2.7239716263578218,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.05006557527523455, 'e': 0.4106557527523455}",20,0,-18.218461823401896,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.04965696597405991, 'e': 0.4065696597405991}",25,17,14.588934876261215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.049252422403363603, 'e': 0.40252422403363597}",35,27,5.312099015309429,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.048851904108451416, 'e': 0.39851904108451414}",25,0,-24.372909096338677,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.04845537103716011, 'e': 0.3945537103716011}",20,6,-4.542617821321243,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.04806278353585211, 'e': 0.3906278353585211}",30,0,-121.31704820495824,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
95,False,"{'a': 0.04767410234545012, 'e': 0.3867410234545012}",20,0,-4.401408554159746,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.04728928859751121, 'e': 0.38289288597511206}",20,0,-33.184297865216706,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.046908303810339884, 'e': 0.37908303810339883}",30,15,16.58176228706119,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.04653110988513996, 'e': 0.37531109885139957}",25,20,8.335011020848022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.046157669102204577, 'e': 0.3715766910220457}",20,0,-67.49822076651266,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
100,False,"{'a': 0.045787944117144236, 'e': 0.36787944117144233}",20,14,2.04539941524452,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.04542189795715233, 'e': 0.3642189795715233}",35,0,-3.112271547549621,"{0: 30, 1: 2, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.045059494017307834, 'e': 0.3605949401730783}",20,0,-19.354789388869136,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.04470069605691474, 'e': 0.3570069605691474}",20,13,6.3415334660998095,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.04434546819587802, 'e': 0.35345468195878016}",20,5,0.14413559757987482,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.04399377491111554, 'e': 0.3499377491111553}",25,6,-46.507646037871716,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.04364558103300574, 'e': 0.3464558103300574}",30,20,19.285625434910965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.04330085174187066, 'e': 0.34300851741870664}",20,0,-0.7488690405106189,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.042959552564493915, 'e': 0.3395955256449391}",30,0,-9.252125233435205,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.04262164937067333, 'e': 0.3362164937067333}",20,10,4.824072228565379,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.04228710836980796, 'e': 0.33287108369807955}",20,1,13.221614952237884,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.04195589610751891, 'e': 0.32955896107518906}",20,14,-11.527845461443118,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.04162797946230395, 'e': 0.32627979462303947}",25,20,9.733693203187098,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.04130332564222529, 'e': 0.3230332564222529}",30,4,-77.33054399885395,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 2}",1
114,False,"{'a': 0.040981902181630385, 'e': 0.31981902181630384}",20,15,-12.739519226016114,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.04066367693790532, 'e': 0.31663676937905316}",35,12,-42.073026443938836,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
116,False,"{'a': 0.040348618088260534, 'e': 0.3134861808826053}",20,6,-18.28267977571594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.040036694126548505, 'e': 0.31036694126548503}",25,15,-1.745522296040586,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.03972787386011312, 'e': 0.30727873860113125}",20,0,-8.256334796969718,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.03942212640667041, 'e': 0.3042212640667041}",20,0,15.576606403861561,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.039119421191220215, 'e': 0.30119421191220214}",25,0,-14.506680543425633,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.03881972794298874, 'e': 0.2981972794298874}",25,5,-21.06340493838628,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.03852301669240142, 'e': 0.2952301669240142}",20,0,-8.66649405558519,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.038229257768085945, 'e': 0.2922925776808594}",25,14,6.908066977678421,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.03793842179390506, 'e': 0.2893842179390506}",20,0,3.627343229440107,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.03765047968601901, 'e': 0.2865047968601901}",20,11,16.79271468147829,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.03736540264997704, 'e': 0.2836540264997704}",25,14,8.751282719917745,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.037083162177837976, 'e': 0.2808316217783798}",25,12,-32.62957877439109,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.036803730045319415, 'e': 0.27803730045319414}",20,0,-19.758328656075722,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.03652707830897523, 'e': 0.27527078308975234}",30,15,25.019438761705494,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.03625317930340126, 'e': 0.2725317930340126}",20,12,-34.222623259219624,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.035982005638468685, 'e': 0.2698200563846868}",30,10,-10.376616846375242,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
132,False,"{'a': 0.03571353019658503, 'e': 0.26713530196585034}",30,7,-67.62394241469728,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
133,False,"{'a': 0.0354477261299824, 'e': 0.26447726129982396}",30,0,-19.873849410975904,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.0351845668580326, 'e': 0.261845668580326}",35,21,-17.60680541221481,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.03492402606458915, 'e': 0.2592402606458915}",20,6,2.8911836108972713,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.03466607769535559, 'e': 0.2566607769535559}",20,6,5.613399591572566,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.03441069595528003, 'e': 0.25410695955280027}",30,17,-0.1957028095866553,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.03415785530597565, 'e': 0.25157855305975646}",25,10,24.461919608213325,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.033907530463166816, 'e': 0.24907530463166816}",20,16,7.921023737393084,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.033659696394160644, 'e': 0.24659696394160643}",20,1,23.63576450867016,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
